month,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,prefec,year,google_mobility_index_4vari_average,mobility_index_6vari_average,Date,confirmed_cases_cumulative,day,deaths_cumulative,prefec_kanji,id
5,-20.806451612903224,-1.4838709677419355,-0.967741935483871,-43.25806451612903,-18.548387096774192,10.32258064516129,Okayama,2020,-21.024193548387096,-12.456989247311826,2020-05-31,25,31,0,岡山,33
5,-30.870967741935484,-9.774193548387096,-46.61290322580645,-58.16129032258065,-23.806451612903224,13.258064516129032,Okinawa,2020,-30.653225806451616,-25.994623655913983,2020-05-31,142,31,6,沖縄,47
5,-36.516129032258064,-2.6774193548387095,-2.3548387096774195,-47.193548387096776,-28.64516129032258,13.96774193548387,Osaka,2020,-28.758064516129032,-17.236559139784948,2020-05-31,1783,31,83,大阪,27
5,-17.967741935483872,-3.3548387096774195,-16,-41.645161290322584,-17.161290322580644,10.193548387096774,Saga,2020,-20.032258064516128,-14.32258064516129,2020-05-31,47,31,0,佐賀,41
5,-27.161290322580644,-0.8064516129032258,0.4838709677419355,-48.774193548387096,-30.903225806451612,16.548387096774192,Saitama,2020,-26.911290322580644,-15.102150537634408,2020-05-31,1003,31,48,埼玉,11
5,-20.741935483870968,1.6129032258064515,-3.3225806451612905,-49.774193548387096,-24.64516129032258,12.35483870967742,Shiga,2020,-23.387096774193548,-14.086021505376344,2020-05-31,100,31,1,滋賀,25
5,-19.806451612903224,-1.8387096774193548,-3.5161290322580645,-34.61290322580645,-16.806451612903224,9.580645161290322,Shimane,2020,-18.266129032258064,-11.166666666666666,2020-05-31,24,31,0,島根,32
5,-22.096774193548388,-1.7096774193548387,-15.258064516129032,-48.774193548387096,-22.483870967741936,12.193548387096774,Shizuoka,2020,-23.766129032258064,-16.35483870967742,2020-05-31,76,31,1,静岡,22
5,-21.193548387096776,-2.838709677419355,-1.6774193548387097,-46,-21.451612903225808,12.419354838709678,Tochigi,2020,-22.870967741935484,-13.456989247311826,2020-05-31,65,31,0,栃木,9
5,-19.838709677419356,-1.5483870967741935,-2.967741935483871,-41.645161290322584,-15.806451612903226,8.96774193548387,Tokushima,2020,-19.70967741935484,-12.13978494623656,2020-05-31,5,31,1,徳島,36
5,-52.41935483870968,-6.419354838709677,-14.580645161290322,-54.96774193548387,-42.38709677419355,21.419354838709676,Tokyo,2020,-39.04838709677419,-24.89247311827957,2020-05-31,5236,31,305,東京,13
5,-16.096774193548388,2.2903225806451615,2.2580645161290325,-36.70967741935484,-16.161290322580644,8.516129032258064,Tottori,2020,-16.669354838709676,-9.317204301075266,2020-05-31,3,31,0,鳥取,31
5,-22.516129032258064,-0.6774193548387096,10.193548387096774,-41.774193548387096,-21.322580645161292,11.96774193548387,Toyama,2020,-21.572580645161292,-10.688172043010754,2020-05-31,227,31,22,富山,16
5,-19.193548387096776,-0.7096774193548387,-3.3870967741935485,-39.58064516129032,-18.612903225806452,9.709677419354838,Wakayama,2020,-19.524193548387096,-11.96236559139785,2020-05-31,63,31,3,和歌山,30
5,-14.419354838709678,0.7096774193548387,28.225806451612904,-36.935483870967744,-18.516129032258064,9.03225806451613,Yamagata,2020,-17.29032258064516,-5.317204301075268,2020-05-31,69,31,0,山形,6
5,-18.161290322580644,-1.2580645161290323,-5.967741935483871,-38.87096774193548,-18.516129032258064,10.290322580645162,Yamaguchi,2020,-19.201612903225804,-12.08064516129032,2020-05-31,37,31,0,山口,35
5,-23,-3.774193548387097,-25.677419354838708,-51.516129032258064,-20.903225806451612,11.709677419354838,Yamanashi,2020,-24.798387096774192,-18.86021505376344,2020-05-31,64,31,1,山梨,19
5,-29.774193548387096,-2.064516129032258,-5.258064516129032,-45.806451612903224,-26.64516129032258,13.774193548387096,zenkoku,2020,-26.07258064516129,-15.962365591397846,2020-05-31,16679,31,892,全国,99
